Datetime,Ticker,Open,High,Low,Close
2024-09-25,AAPL,224.92999267578125,227.2899932861328,224.02000427246094,226.3699951171875
2024-09-26,AAPL,227.3000030517578,228.5,225.41000366210938,227.52000427246094
2024-09-27,AAPL,228.4600067138672,229.52000427246094,227.3000030517578,227.7899932861328
2024-09-30,AAPL,230.0399932861328,233.0,229.64999389648438,233.0
2024-10-01,AAPL,229.52000427246094,229.64999389648438,223.74000549316406,226.2100067138672
2024-10-02,AAPL,225.88999938964844,227.3699951171875,223.02000427246094,226.77999877929688
2024-10-03,AAPL,225.13999938964844,226.80999755859375,223.32000732421875,225.6699981689453
2024-10-04,AAPL,227.89999389648438,228.0,224.1300048828125,226.8000030517578
2024-10-07,AAPL,224.5,225.69000244140625,221.3300018310547,221.69000244140625
2024-10-08,AAPL,224.3000030517578,225.97999572753906,223.25,225.77000427246094
2024-10-09,AAPL,225.22999572753906,229.75,224.8300018310547,229.5399932861328
2024-10-10,AAPL,227.77999877929688,229.5,227.1699981689453,229.0399932861328
2024-10-11,AAPL,229.3000030517578,229.41000366210938,227.33999633789062,227.5500030517578
2024-10-14,AAPL,228.6999969482422,231.72999572753906,228.60000610351562,231.3000030517578
2024-10-15,AAPL,233.61000061035156,237.49000549316406,232.3699951171875,233.85000610351562
2024-10-16,AAPL,231.60000610351562,232.1199951171875,229.83999633789062,231.77999877929688
2024-10-17,AAPL,233.42999267578125,233.85000610351562,230.52000427246094,232.14999389648438
2024-10-18,AAPL,236.17999267578125,236.17999267578125,234.00999450683594,235.0
2024-10-21,AAPL,234.4499969482422,236.85000610351562,234.4499969482422,236.47999572753906
2024-10-22,AAPL,233.88999938964844,236.22000122070312,232.60000610351562,235.86000061035156
2024-10-23,AAPL,234.0800018310547,235.13999938964844,227.75999450683594,230.75999450683594
2024-10-24,AAPL,229.97999572753906,230.82000732421875,228.41000366210938,230.57000732421875
2024-10-25,AAPL,229.74000549316406,233.22000122070312,229.57000732421875,231.41000366210938
2024-10-28,AAPL,233.32000732421875,234.72999572753906,232.5500030517578,233.39999389648438
2024-10-29,AAPL,233.10000610351562,234.3300018310547,232.32000732421875,233.6699981689453
2024-10-30,AAPL,232.61000061035156,233.47000122070312,229.5500030517578,230.10000610351562
2024-10-31,AAPL,229.33999633789062,229.8300018310547,225.3699951171875,225.91000366210938
2024-11-01,AAPL,220.97000122070312,225.35000610351562,220.27000427246094,222.91000366210938
2024-11-04,AAPL,220.99000549316406,222.7899932861328,219.7100067138672,222.00999450683594
2024-11-05,AAPL,221.8000030517578,223.9499969482422,221.13999938964844,223.4499969482422
2024-11-06,AAPL,222.61000061035156,226.07000732421875,221.19000244140625,222.72000122070312
2024-11-07,AAPL,224.6300048828125,227.8800048828125,224.57000732421875,227.47999572753906
2024-11-08,AAPL,227.1699981689453,228.66000366210938,226.41000366210938,226.9600067138672
2024-11-11,AAPL,225.0,225.6999969482422,221.5,224.22999572753906
2024-11-12,AAPL,224.5500030517578,225.58999633789062,223.36000061035156,224.22999572753906
2024-11-13,AAPL,224.00999450683594,226.64999389648438,222.75999450683594,225.1199951171875
2024-11-14,AAPL,225.02000427246094,228.8699951171875,225.0,228.22000122070312
2024-11-15,AAPL,226.39999389648438,226.9199981689453,224.27000427246094,225.0
2024-11-18,AAPL,225.25,229.74000549316406,225.1699981689453,228.02000427246094
2024-11-19,AAPL,226.97999572753906,230.16000366210938,226.66000366210938,228.27999877929688
2024-11-20,AAPL,228.05999755859375,229.92999267578125,225.88999938964844,229.0
2024-11-21,AAPL,228.8800048828125,230.16000366210938,225.7100067138672,228.52000427246094
2024-11-22,AAPL,228.05999755859375,230.72000122070312,228.05999755859375,229.8699951171875
2024-11-25,AAPL,231.4600067138672,233.25,229.74000549316406,232.8699951171875
2024-11-26,AAPL,233.3300018310547,235.57000732421875,233.3300018310547,235.05999755859375
2024-11-27,AAPL,234.47000122070312,235.69000244140625,233.80999755859375,234.92999267578125
2024-11-29,AAPL,234.80999755859375,237.80999755859375,233.97000122070312,237.3300018310547
2024-12-02,AAPL,237.27000427246094,240.7899932861328,237.16000366210938,239.58999633789062
2024-12-03,AAPL,239.80999755859375,242.75999450683594,238.89999389648438,242.64999389648438
2024-12-04,AAPL,242.8699951171875,244.11000061035156,241.25,243.00999450683594
2024-12-05,AAPL,243.99000549316406,244.5399932861328,242.1300048828125,243.0399932861328
2024-12-06,AAPL,242.91000366210938,244.6300048828125,242.0800018310547,242.83999633789062
2024-12-09,AAPL,241.8300018310547,247.24000549316406,241.75,246.75
2024-12-10,AAPL,246.88999938964844,248.2100067138672,245.33999633789062,247.77000427246094
2024-12-11,AAPL,247.9600067138672,250.8000030517578,246.25999450683594,246.49000549316406
2024-12-12,AAPL,246.88999938964844,248.74000549316406,245.67999267578125,247.9600067138672
2024-12-13,AAPL,247.82000732421875,249.2899932861328,246.24000549316406,248.1300048828125
2024-12-16,AAPL,247.99000549316406,251.3800048828125,247.64999389648438,251.0399932861328
